Item Type,Publication Year,Title,Author,Source
journalArticle,2022,Simulating seismic multifrequency wavefields with the Fourier feature physics-informed neural network,"Song, Chao; Wang, Yanghua",Geophysical Journal International
journalArticle,2022,Small-data-driven fast seismic simulations for complex media using physics-informed Fourier neural operators,"Wei, Wei; Fu, Li‐Yun",Geophysics
journalArticle,2022,Solution of an inverse dynamical seismic problem on the base of a deep convolutional neural network,"Bratchikiov, D.; Gadylshin, Kirill",Interexpo GEO-Siberia
journalArticle,2022,Wave simulation in non-smooth media by PINN with quadratic neural network and PML condition,"Wu, Yanqi; Aghamiry, Hossein; Operto, S.; Ma, Jianwei",arXiv (Cornell University)
journalArticle,2021,A Deep-Learning-Based Denoising Method for Multiarea Surface Seismic Data,"Dong, Xintong; Zhong, Tie; Li, Yue",IEEE Geoscience and Remote Sensing Letters
journalArticle,2021,A versatile framework to solve the Helmholtz equation using physics-informed neural networks,"Song, Chao; Alkhalifah, Tariq; bin Waheed, Umair",Geophysical Journal International
journalArticle,2021,Accelerating Bayesian microseismic event location with deep learning,"Mancini, A.; Piras, Davide; Ferreira, Ana; Hobson, M.; Joachimi, Benjamin",Solid Earth
journalArticle,2021,An Eigenfunction Representation of Deep Waveguides with Application to Unconventional Reservoirs,"Huff, O.; Luo, B.; Lellouch, A.; Jin, G.",Geophysics
journalArticle,2021,An encoder-decoder deep surrogate for reverse time migration in seismic imaging under uncertainty,"Freitas, Rodolfo; Barbosa, Carlos; Guerra, Gabriel; Coutinho, Álvaro; Rochinha, Fernando",Computational Geosciences
journalArticle,2021,Data-Driven Design of Wave-Propagation Models for Shale-Oil Reservoirs Based on Machine Learning,"Xiong, Fuqin; Ba, Jing; Gei, Davide; Carcione, José",Journal of Geophysical Research Solid Earth
journalArticle,2021,Deep learning for velocity model building with common-image gather volumes,"Geng, Zhicheng; Zhao, Zeyu; Shi, Yunzhi; Wu, Xinming; Fomel, Sergey; Sen, Mrinal",Geophysical Journal International
journalArticle,2021,Effects of Acoustic Stimulation on Fluid Flow in Porous Media,"Khasi, Saeid; Fayazi, Amir; Kantzas, Apostolos",Energy & Fuels
journalArticle,2021,"Imaging the Earth&#8217;s small structures: AI-driven, Bayesian inference of microstructure descriptors from finite-frequency waves","Vasconcelos, Ivan; Klessens, Wouter; Jiao, Yang; Niemeijer, André; Hangx, Suzanne",
preprint,2021,Is it time to swish? Comparing activation functions in solving the Helmholtz equation using physics-informed neural networks,"Al-Safwan, Ali; Song, Chao; Waheed, Umair bin",arXiv
journalArticle,2021,Multi-mode wave-equation based Scholte wave inversion,"Gao, Fuchun; Appe, Mathieu; Ren, Li; Williamson, P.",
journalArticle,2021,PINNeik: Eikonal solution using physics-informed neural networks,"Waheed, U.B.; Haghighat, E.; Alkhalifah, T.; Song, C.; Hao, Q.",Computers and Geosciences
journalArticle,2021,Physics-guided deep learning using Fourier neural operators for solving the acoustic VTI wave equation,"Konuk, Tuğrul; Shragge, Jeffrey",
journalArticle,2021,Revisit Geophysical Imaging in A New View of Physics-informed Generative Adversarial Learning,"Yang, Fangshu; Ma, Jianwei",arXiv (Cornell University)
journalArticle,2021,Seismic Inversion by Hybrid Machine Learning,"Chen, Yuqing; Saygin, Erdinc",Journal of Geophysical Research Solid Earth
journalArticle,2021,Seismic Wave Propagation and Inversion with Neural Operators,"Yang, Yan; Gao, Angela; Castellanos, Jorge; Ross, Zachary; Azizzadenesheli, Kamyar; Clayton, R.",The Seismic Record
journalArticle,2021,Seismic inversion by multiscale Newtonian machine learning inversion,"Chen, Yuqing; Saygin, Erdinc",
journalArticle,2021,Sensing and computational frameworks for improving drill-string dynamics estimation,"Auriol, Jean; Kazemi, Nasser; Niculescu, Silviu‐Iulian",Mechanical Systems and Signal Processing
journalArticle,2021,Skeletonized Wave-Equation Refraction Inversion with Autoencoded Waveforms,"Yu, Han; Chen, Yuqing; Hanafy, Sherif; Schuster, Gerard",IEEE Transactions on Geoscience and Remote Sensing
journalArticle,2021,Solving the frequency-domain acoustic VTI wave equation using physics-informed neural networks,"Song, C.; Alkhalifah, T.; Waheed, U.B.",Geophysical Journal International
journalArticle,2021,Synthetic seismic data generation with deep learning,"Roncoroni, G.; Fortini, C.; Bortolussi, L.; Bienati, N.; Pipan, M.",Journal of Applied Geophysics
journalArticle,2021,VSP model building via deep learning,"Ma, Yangyang; Zhang, Jianming",
journalArticle,2021,Velocity model building from one-shot VSP data via a convolutional neural network,"Ma, Yangyang; Zhang, Jie",
journalArticle,2021,Wavefield solutions from machine learned functions constrained by the Helmholtz equation,"Alkhalifah, Tariq; Song, Chao; bin Waheed, Umair; Hao, Qi",Artificial Intelligence in Geosciences
journalArticle,2020,A Physics-Based Neural-Network Way to Perform Seismic Full Waveform Inversion,"Ren, Yuxiao; Xu, Xinji; Yang, Senlin; Nie, Lichao; Chen, Yangkang",IEEE Access
journalArticle,2020,A level set based method for 2D elastic waveform inversion with a stochastic gradient descent approach with a 3D and machine learning prospect,"Wu, Yifan",
journalArticle,2020,Anisotropic eikonal solution using physics-informed neural networks,"bin Waheed, Umair; Haghighat, Ehsan; Alkhalifah, Tariq",
journalArticle,2020,Deep generative models for accelerated Bayesian posterior inference of microseismic events,"Mancini, A.; Piras, Davide; Hobson, M.; Joachimi, Benjamin",arXiv (Cornell University)
journalArticle,2020,Deep learning seismic substructure detection using the Frozen Gaussian approximation,"Hateley, James; Bin Oh, Sung; Mylonakis, Kyle; Yang, Xu",Journal of Computational Physics
journalArticle,2020,Geotechnical Site Characterization via Deep Neural Networks: Recovering the Shear Wave Velocity Profile of Layered Soils,"Ayoubi, Peyman; Seylabi, Elnaz; Asimaki, Domniki",
bookSection,2020,Improving Seismic Wave Simulation and Inversion Using Deep Learning,"Huang, Lei; Clee, Edward; Ranasinghe, N.",Springer Science+Business Media
journalArticle,2020,Modeling Land Seismic Exploration Random Noise in a Weakly Heterogeneous Medium and the Application to the Training Set,"Feng, Qiankun; Li, Yue; Wang, Jing",IEEE Geoscience and Remote Sensing Letters
journalArticle,2020,Near-real-time near-surface 3D seismic velocity and uncertainty models by wavefield gradiometry and neural network inversion of ambient seismic noise,"Cao, Ruikun; Earp, Stephanie; de Ridder, Sjoerd; Curtis, Andrew; Galetti, Erica",Geophysics
journalArticle,2020,Physics informed machine learning: Seismic wave equation,"Karimpouli, Sadegh; Tahmasebi, Pejman",Geoscience Frontiers
journalArticle,2020,Seismic inversion by multi-dimensional newtonian machine learning,"Chen, Yuqing; Saygin, Erdinc; Schuster, Gerard",
journalArticle,2020,Subsurface velocity profiling by application of physics informed neural networks,"Kumar, Ashutosh; Murali, Amal; Priyadarshan, Amit",
journalArticle,2020,System formulation of the nonlinear relaxing wave equation for high-order finite-difference approaches,"Pinton, Gianmarco",The Journal of the Acoustical Society of America
journalArticle,2020,Velocity model building in a crosswell acquisition geometry with image-trained artificial neural networks,"Wang, Wenlong; Ma, Jianwei",Geophysics
journalArticle,2020,Wave propagation with physics informed neural networks,"Voytan, Dimitri; Sen, Mrinal",
journalArticle,2020,Wavefield reconstruction inversion via machine learned functions,"Song, Chao; Alkhalifah, Tariq",
preprint,2019,Accelerating Least Squares Imaging Using Deep Learning Techniques,"Vamaraju, Janaki; Vila, Jeremy; Araya-Polo, Mauricio; Datta, Debanjan; Sidahmed, Mohamed; Sen, Mrinal",arXiv
